province_state,country_region,Bulanan,latitude,longitude,confirmed,deaths,recovered,active
Guangdong,China,2021-05-31,23.3417,113.4244,74238,248,72444,1546
Guangxi,China,2021-05-31,23.8298,108.7881,8522,62,8277,183
Guizhou,China,2021-05-31,26.8154,106.8748,4557,62,4495,0
Hainan,China,2021-05-31,19.1959,109.7453,5828,186,5337,305
Hebei,China,2021-05-31,37.8957,114.9042,40827,217,40610,0
Heilongjiang,China,2021-05-31,47.862,127.7615,49934,403,49507,24
Henan,China,2021-05-31,33.882,113.614,40703,682,39964,57
Hong Kong,China,2021-05-31,22.3,114.2,366355,6510,357050,2795
Hubei,China,2021-05-31,30.9756,112.2707,2112912,139872,1972904,136
Hunan,China,2021-05-31,27.6104,111.7088,32471,124,32179,168
Inner Mongolia,China,2021-05-31,44.0935,113.9448,11893,31,11768,94
Jiangsu,China,2021-05-31,32.9711,119.455,22383,0,22106,277
Jiangxi,China,2021-05-31,27.614,115.7221,29047,31,29016,0
Jilin,China,2021-05-31,43.6661,126.1923,17763,93,17670,0
Liaoning,China,2021-05-31,41.2956,122.6085,12912,62,12625,225
Macau,China,2021-05-31,22.1667,113.55,1543,0,1519,24
Ningxia,China,2021-05-31,37.2692,106.1655,2349,0,2325,24
Qinghai,China,2021-05-31,35.7452,95.9956,558,0,558,0
Shaanxi,China,2021-05-31,35.1917,108.8701,18676,93,18168,415
Shandong,China,2021-05-31,36.3427,118.1498,27316,217,26990,109
Shanghai,China,2021-05-31,31.202,121.4491,63302,217,61181,1904
Shanxi,China,2021-05-31,37.5777,112.2922,7797,0,7603,194
Sichuan,China,2021-05-31,30.6171,102.7103,31128,93,30125,910
Tianjin,China,2021-05-31,39.3054,117.323,12056,93,11725,238
Tibet,China,2021-05-31,31.6927,88.0924,31,0,31,0
Unknown,China,2021-05-31,,,2,0,337,-335
Xinjiang,China,2021-05-31,41.1129,85.2401,30380,93,30287,0
Yunnan,China,2021-05-31,24.974,101.487,10831,62,9743,1026
Zhejiang,China,2021-05-31,29.1832,120.0934,41962,31,41022,909
,Indonesia,2021-05-31,-0.7893,113.9213,54051659,1492339,49599831,2946922
,Laos,2021-05-31,19.85627,102.495496,47255,45,19903,27307
,Malaysia,2021-05-31,4.2104839999999992,101.975766,14842763,61917,13286093,1494753
,Philippines,2021-05-31,12.879721,121.774017,35354696,593586,32993387,1767723
,Singapore,2021-05-31,1.2833,103.8333,1909452,975,1894406,14071
,Thailand,2021-05-31,15.870032,100.992541,3330052,18755,833063,2478234
,Vietnam,2021-05-31,14.058324,108.277199,139751,1206,83548,54997
Anhui,China,2020-04-30,31.8257,117.2264,29722,180,29527,15
Beijing,China,2020-04-30,40.1824,116.4142,17696,245,14698,2753
Chongqing,China,2020-04-30,30.0572,107.874,17370,180,17124,66
Fujian,China,2020-04-30,26.0789,117.9874,10577,30,9825,722
Gansu,China,2020-04-30,37.8099,101.0583,4165,60,4042,63
Guangdong,China,2020-04-30,23.3417,113.4244,46777,240,43966,2571
Guangxi,China,2020-04-30,23.8298,108.7881,7620,60,7558,2
Guizhou,China,2020-04-30,26.8154,106.8748,4392,60,4332,0
Hainan,China,2020-04-30,19.1959,109.7453,5040,180,4860,0
Hebei,China,2020-04-30,39.549,116.1306,9817,180,9434,203
Heilongjiang,China,2020-04-30,47.861999999999995,127.7615,11327,195,7419,3713
Henan,China,2020-04-30,33.882,113.61399999999999,19140,330,18794,16
Hong Kong,China,2020-04-30,22.3,114.2,29443,120,14462,14861
Hubei,China,2020-04-30,30.9756,112.2707,2038637,114572,1914729,9336
Hunan,China,2020-04-30,27.6104,111.7088,30569,120,30433,16
Inner Mongolia,China,2020-04-30,44.0935,113.9448,5050,30,2970,2050
Jiangsu,China,2020-04-30,32.9711,119.455,19560,0,19198,362
Jiangxi,China,2020-04-30,27.614,115.7221,28110,30,28071,9
Jilin,China,2020-04-30,43.6661,126.1923,3083,30,2878,175
Liaoning,China,2020-04-30,41.2956,122.6085,4337,60,4094,183
Macau,China,2020-04-30,22.1667,113.55,1335,0,553,782
Ningxia,China,2020-04-30,37.2692,106.1655,2250,0,2250,0
Qinghai,China,2020-04-30,35.7452,95.9956,540,0,540,0
Shaanxi,China,2020-04-30,35.1917,108.8701,8014,90,7481,443
Shandong,China,2020-04-30,36.3427,118.1498,23516,210,22838,468
Shanghai,China,2020-04-30,31.201999999999998,121.4491,8943,101,7154,1688
Shanxi,China,2020-04-30,37.5777,112.2922,5287,0,4221,1066
Sichuan,China,2020-04-30,30.6171,102.7103,16788,90,16476,222
Tianjin,China,2020-04-30,39.3054,117.323,5556,90,4954,512
Tibet,China,2020-04-30,31.6927,88.0924,30,0,30,0
Xinjiang,China,2020-04-30,41.1129,85.2401,2280,90,2190,0
Yunnan,China,2020-04-30,24.974,101.48700000000001,2762,30,2642,90
Zhejiang,China,2020-04-30,29.1832,120.0934,37985,30,37314,641
,Brunei,2020-04-30,4.5353,114.7277,4089,30,3069,990
,Burma,2020-04-30,21.9162,95.956,2408,110,178,2120
,Cambodia,2020-04-30,11.55,104.9167,3583,0,2586,997
,Indonesia,2020-04-30,-0.7893,113.9213,164969,14067,18115,132787
,Laos,2020-04-30,19.856270000000002,102.495496,414,0,65,349
,Malaysia,2020-04-30,4.2104839999999992,101.97576600000001,119271,1971,65024,52276
,Philippines,2020-04-30,12.879721,121.77401699999999,137303,8574,11650,117079
,Singapore,2020-04-30,1.2833,103.8333,188949,282,20458,168209
,Thailand,2020-04-30,15.870032,100.992541,77151,1182,48338,27631
,Vietnam,2020-04-30,14.058323999999999,108.277199,6262,0,4199,2063
,Brunei,2021-10-31,4.5353,114.7277,320523,2170,,
,Burma,2021-10-31,21.9162,95.956,15035793,567160,,
,Cambodia,2021-10-31,11.55,104.9167,3598128,80620,,
Anhui,China,2021-10-31,31.8257,117.2264,31248,186,,
Beijing,China,2021-10-31,40.1824,116.4142,35172,279,,
Chongqing,China,2021-10-31,30.0572,107.874,18694,186,,
Fujian,China,2021-10-31,26.0789,117.9874,40139,31,,
Gansu,China,2021-10-31,35.7518,104.2861,6865,62,,
Guangdong,China,2021-10-31,23.3417,113.4244,99287,248,,
Guangxi,China,2021-10-31,23.8298,108.7881,9819,62,,
Guizhou,China,2021-10-31,26.8154,106.8748,4643,62,,
Hainan,China,2021-10-31,19.1959,109.7453,5890,186,,
Hebei,China,2021-10-31,37.8957,114.9042,40892,217,,
Heilongjiang,China,2021-10-31,47.861999999999995,127.7615,53236,403,,
Henan,China,2021-10-31,33.882,113.61399999999999,48023,682,,
Hong Kong,China,2021-10-31,22.3,114.2,380904,6603,,
Hubei,China,2021-10-31,30.9756,112.2707,2117371,139872,,
Hunan,China,2021-10-31,27.6104,111.7088,36970,124,,
Inner Mongolia,China,2021-10-31,44.0935,113.9448,14195,31,,
